GEMEINDE-SCHLUESSEL;ART;NAME;PLZ;ORT;AMTS-SCHLUESSEL;AMT-NAME
12 0 60 012 06;Gemeinde;Althüttendorf;16247;Althüttendorf;12 0 60 000 06;Joachimsthal (Schorfheide)
12 0 60 024 03;Stadt;Biesenthal;16359;Biesenthal;12 0 60 000 03;Biesenthal-Barnim
12 0 60 034 03;Gemeinde;Breydin;16230;Breydin;12 0 60 000 03;Biesenthal-Barnim
12 0 60 036 11;Gemeinde;Britz;16230;Britz;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 045 11;Gemeinde;Chorin;16230;Chorin;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 068 06;Gemeinde;Friedrichswalde;16247;Friedrichswalde;12 0 60 000 06;Joachimsthal (Schorfheide)
12 0 60 092 11;Gemeinde;Hohenfinow;16248;Hohenfinow;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 100 06;Stadt;Joachimsthal;16247;Joachimsthal;12 0 60 000 06;Joachimsthal (Schorfheide)
12 0 60 128 11;Gemeinde;Liepe;16248;Liepe;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 149 11;Gemeinde;Lunow-Stolzenhagen;16248;Lunow-Stolzenhagen;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 154 03;Gemeinde;Marienwerder;16348;Marienwerder;12 0 60 000 03;Biesenthal-Barnim
12 0 60 161 03;Gemeinde;Melchow;16230;Melchow;12 0 60 000 03;Biesenthal-Barnim
12 0 60 172 11;Gemeinde;Niederfinow;16248;Niederfinow;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 176 11;Stadt;Oderberg;16248;Oderberg;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 185 11;Gemeinde;Parsteinsee;16248;Parsteinsee;12 0 60 000 11;Britz-Chorin-Oderberg
12 0 60 192 03;Gemeinde;Rüdnitz;16321;Rüdnitz;12 0 60 000 03;Biesenthal-Barnim
12 0 60 250 03;Gemeinde;Sydower Fließ;16230;Sydower Fließ;12 0 60 000 03;Biesenthal-Barnim
12 0 60 296 06;Gemeinde;Ziethen;16247;Ziethen;12 0 60 000 06;Joachimsthal (Schorfheide)
12 0 61 005 13;Gemeinde;Alt Zauche-Wußwerk;15913;Alt Zauche-Wußwerk;12 0 61 000 13;Lieberose/Oberspreewald
12 0 61 017 14;Gemeinde;Bersteland;15910;Bersteland;12 0 61 000 14;Unterspreewald
12 0 61 061 13;Gemeinde;Byhleguhre-Byhlen;15913;Byhleguhre-Byhlen;12 0 61 000 13;Lieberose/Oberspreewald
